,WATER_SPECIAL,ICE_STATUS,DARK_SPECIAL,NORMAL_STATUS,STEEL_PHYSICAL,PSYCHIC_SPECIAL,GRASS_SPECIAL,FIRE_SPECIAL,ICE_SPECIAL,ELECTRIC_SPECIAL,FIGHTING_PHYSICAL,FLYING_STATUS,ROCK_PHYSICAL,WATER_PHYSICAL,POISON_PHYSICAL,PSYCHIC_PHYSICAL,PSYCHIC_STATUS,NORMAL_PHYSICAL,POISON_STATUS,GRASS_STATUS,DARK_PHYSICAL,GROUND_PHYSICAL,ROCK_STATUS,ICE_PHYSICAL,DRAGON_SPECIAL,ELECTRIC_STATUS,BUG_PHYSICAL,DARK_STATUS,GROUND_SPECIAL,FLYING_SPECIAL,GHOST_SPECIAL,FIRE_STATUS
normal_steel&psychic,0.0,0.0,0.0,-24.8,0.0,0.0,0.0,160.6,0.0,0.0,142.1,0.0,0.0,0.0,0.0,0.0,0.0,-67.6,16.1,10.1,-14.3,0.0,0.0,-25.8,0.0,193.9,0.0,0.0,0.0,0.0,0.0,0.0
fire&flying_water,0.0,0.0,0.0,-6.7,-1.8,-1.8,0.0,-68.4,0.0,0.0,-3.4,-17.2,0.0,0.0,0.0,0.0,0.0,0.0,-114.8,0.0,0.0,-1.8,0.0,-1.8,0.0,0.0,-1.7,0.0,0.0,0.0,0.0,0.0
fire&flying_water&poison,0.0,0.0,0.0,-64.2,0.0,0.0,0.0,-71.9,0.0,0.0,0.0,-83.1,0.0,0.0,0.0,0.0,0.0,3.3,-85.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fire&flying_steel&psychic,0.0,0.0,0.0,-32.4,0.0,0.0,0.0,-89.4,0.0,0.0,0.0,-60.2,0.0,0.0,0.0,0.0,0.0,-8.9,-60.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fire&flying_psychic&fighting,0.0,0.0,0.0,2.2,0.0,0.0,0.0,-31.5,0.0,0.0,0.0,-34.9,0.0,0.0,0.0,0.0,0.0,0.0,-46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fire&flying_rock&dark,0.0,0.0,0.0,19.9,0.0,0.0,0.0,35.7,0.0,0.0,0.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,131.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_water&poison,0.0,0.0,0.0,0.0,0.0,0.0,77.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.1,49.4,71.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_psychic&fighting,0.0,0.0,0.0,0.0,0.0,0.0,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.6,-21.8,-2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_rock&dark,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.5,-5.0,-8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_water,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-6.1,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,-8.2,-6.1,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steel_rock&dark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.8,-25.5,0.0,0.0,0.0,-42.0,-62.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steel_rock&flying,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5,-11.0,0.0,0.0,0.0,-10.6,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water&dragon_rock&dark,141.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water&dragon_rock&flying,-3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,-10.0,-55.5,-16.5,0.0,0.0,0.0,0.0,0.0,0.0
normal_rock&flying,0.0,0.0,0.0,290.9,0.0,0.0,0.0,153.1,0.0,0.0,372.2,0.0,0.0,0.0,0.0,0.0,0.0,127.4,253.1,256.2,34.4,0.0,0.0,7.8,-24.2,334.2,19.9,0.0,0.0,0.0,0.0,0.0
ice&ground_rock&flying,-21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.8,0.0,0.0,0.0,-4.2,-24.9,266.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psychic&grass_psychic&grass,0.0,0.0,137.7,-13.8,0.0,0.0,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.3,-24.6,0.0,0.0,0.0,0.0
poison&flying_psychic&grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.4,18.1,0.0,0.0,0.0,0.0
dark_ground&psychic,0.0,0.0,0.0,143.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dark_steel&psychic,0.0,0.0,0.0,143.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ground&psychic_poison&flying,0.0,0.0,0.0,-58.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.8,-67.6,0.0,0.0,0.0,-13.0,-78.2,0.0,0.0,0.0,-25.7,0.0,-106.5,0.0,0.0,0.0
ground&psychic_dark,0.0,0.0,0.0,49.1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2,0.0,0.0,0.0,0.0,-32.8,0.0,0.0,0.0,-5.0,0.0,-60.2,0.0,0.0,0.0
ground&psychic_dark&ice,0.0,0.0,0.0,4.4,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.1,0.0,0.0,0.0,0.0,-97.0,0.0,0.0,0.0,0.0,0.0,-4.6,0.0,0.0,0.0
