,WATER_SPECIAL,ICE_STATUS,DARK_SPECIAL,NORMAL_STATUS,STEEL_PHYSICAL,PSYCHIC_SPECIAL,GRASS_SPECIAL,FIRE_SPECIAL,ICE_SPECIAL,ELECTRIC_SPECIAL,FIGHTING_PHYSICAL,FLYING_STATUS,ROCK_PHYSICAL,WATER_PHYSICAL,POISON_PHYSICAL,PSYCHIC_PHYSICAL,PSYCHIC_STATUS,NORMAL_PHYSICAL,POISON_STATUS,GRASS_STATUS,DARK_PHYSICAL,GROUND_PHYSICAL,ROCK_STATUS,ICE_PHYSICAL,DRAGON_SPECIAL,ELECTRIC_STATUS,BUG_PHYSICAL,DARK_STATUS,GROUND_SPECIAL,FLYING_SPECIAL,GHOST_SPECIAL,FIRE_STATUS
normal_steel&psychic,0.0,0.0,0.0,64.6,0.0,0.0,0.0,14.4,0.0,0.0,149.4,-20.3,0.0,0.0,0.0,0.0,0.0,-81.7,-44.8,-18.5,-20.4,0.0,0.0,-21.0,0.0,193.7,0.0,0.0,0.0,0.0,0.0,0.0
fire&flying_water,0.0,0.0,0.0,-77.0,0.0,0.0,0.0,-37.1,0.0,0.0,-4.9,-23.7,0.0,0.0,0.0,0.0,0.0,-1.8,-36.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4,0.0,0.0,0.0,-1.8,0.0
fire&flying_water&poison,0.0,0.0,0.0,-108.6,0.0,0.0,0.0,-147.2,0.0,0.0,0.0,-33.6,0.0,0.0,0.0,0.0,0.0,0.0,-92.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fire&flying_steel&psychic,0.0,0.0,0.0,-121.8,0.0,0.0,0.0,-25.9,0.0,0.0,0.0,-61.3,0.0,0.0,0.0,0.0,0.0,25.7,-79.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fire&flying_psychic&fighting,0.0,0.0,0.0,-60.0,0.0,0.0,0.0,-24.7,0.0,0.0,0.0,-2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fire&flying_rock&dark,0.0,0.0,0.0,22.1,0.0,0.0,0.0,64.4,0.0,0.0,0.0,52.9,0.0,0.0,0.0,0.0,0.0,0.0,121.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_water&poison,0.0,0.0,0.0,0.0,0.0,0.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.9,45.8,134.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_psychic&fighting,0.0,0.0,0.0,0.0,0.0,0.0,-15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.7,-2.4,-12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_rock&dark,0.0,0.0,0.0,0.0,0.0,0.0,-32.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.7,-42.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_water,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-0.3,-5.4,-12.4,-15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steel_rock&dark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1,-48.7,0.0,0.0,0.0,-7.0,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steel_rock&flying,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.1,-3.2,0.0,-0.8,0.0,-9.4,-37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water&dragon_rock&dark,120.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water&dragon_rock&flying,-30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,-7.4,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal_rock&flying,0.0,0.0,0.0,302.3,0.0,0.0,0.0,160.3,0.0,0.0,390.8,0.0,0.0,0.0,0.0,0.0,16.2,207.2,113.0,318.9,-0.7,0.0,0.0,0.0,-11.3,447.4,18.8,0.0,0.0,0.0,0.0,0.0
ice&ground_rock&flying,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,-65.5,197.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psychic&grass_psychic&grass,0.0,0.0,93.7,0.0,0.0,0.0,92.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.8,0.0,0.0,0.0,0.0,0.0
poison&flying_psychic&grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0,0.0,-9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.9,4.8,0.0,0.0,0.0,0.0
dark_ground&psychic,0.0,0.0,0.0,157.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dark_steel&psychic,0.0,0.0,0.0,177.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.9,0.0,0.0,0.0,0.0,0.0
ground&psychic_poison&flying,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.4,0.0,0.0,0.0,0.0,-87.3,0.0,0.0,0.0,-27.4,0.0,-105.5,0.0,0.0,0.0
ground&psychic_dark,0.0,0.0,0.0,26.8,30.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.6,0.0,0.0,0.0,0.0,-44.7,50.0,0.0,0.0,0.0,0.0,-68.4,0.0,0.0,0.0
ground&psychic_dark&ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.5,0.0,0.0,0.0,0.0,-107.1,0.0,0.0,0.0,0.0,-2.8,-61.3,0.0,0.0,0.0
psychic&grass_dark,0.0,0.0,254.7,0.0,0.0,0.0,233.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.2,85.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0
psychic&grass_poison&flying,0.0,0.0,-276.7,-25.4,0.0,0.0,-115.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.3,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-135.3,0.0,0.0,0.0,0.0,0.0
dark&ice_poison&flying,0.0,0.0,0.0,-24.2,0.0,0.0,0.0,0.0,0.0,0.0,-22.3,0.0,0.0,0.0,0.0,0.0,0.0,-38.2,0.0,0.0,-8.7,0.0,0.0,144.4,0.0,0.0,0.0,-29.5,0.0,0.0,0.0,0.0
dark&ice_dark,0.0,0.0,0.0,-19.7,29.3,0.0,0.0,0.0,0.0,0.0,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,-46.8,0.0,0.0,-35.4,0.0,0.0,-80.1,0.0,0.0,24.8,-57.3,23.2,0.0,0.0,0.0
psychic&grass_dark&ice,0.0,0.0,-95.8,-15.3,0.0,0.0,-115.2,0.0,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,-36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.9,0.0,0.0,0.0,0.0,0.0
psychic&grass_ground&psychic,0.0,0.0,58.2,0.0,0.0,0.0,84.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.4,0.0,0.0,0.0,0.0,0.0
dark_dark,0.0,0.0,0.0,112.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,122.2,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,3.5,92.8,0.0,0.0,0.0,0.0
dark_psychic&grass,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
