,NORMAL_STATUS,WATER_PHYSICAL,NORMAL_PHYSICAL,POISON_PHYSICAL,WATER_SPECIAL,PSYCHIC_STATUS,FIGHTING_PHYSICAL,DARK_PHYSICAL,FLYING_SPECIAL,ELECTRIC_STATUS,BUG_PHYSICAL,ICE_STATUS,DARK_SPECIAL,FLYING_STATUS,ROCK_PHYSICAL,STEEL_PHYSICAL,PSYCHIC_SPECIAL,GRASS_SPECIAL,FIRE_SPECIAL,ICE_SPECIAL,ELECTRIC_SPECIAL,POISON_STATUS,ROCK_STATUS,GROUND_PHYSICAL,ICE_PHYSICAL,DRAGON_SPECIAL,GRASS_STATUS,PSYCHIC_PHYSICAL,GHOST_SPECIAL,FIRE_STATUS,DARK_STATUS,GROUND_SPECIAL
dark&ice_steel,180,0,-329,0,0,-45,396,-272,0,0,-176,0,0,0,0,0,0,0,179,0,0,231,79,0,-18,0,85,0,-334,-166,208,0
psychic_ghost&dark,203,0,252,0,0,-6,381,99,0,0,358,0,0,0,0,0,0,0,179,0,0,181,-276,0,269,0,370,0,226,288,-168,0
psychic_rock&flying,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rock&dark_grass&fighting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
steel_ice&ground,186,0,-206,0,-254,0,43,103,0,474,0,0,0,-44,0,0,0,323,222,0,0,-31,280,292,-3,-106,129,0,0,0,0,0
ice&ground_steel,0,0,73,0,-77,0,-10,136,0,198,0,0,0,146,0,0,0,449,475,0,0,162,-42,-236,-182,155,141,0,0,0,0,0
rock&dark_steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rock&dark_psychic&fighting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psychic_rock&dark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water&dragon_psychic,126,0,151,0,282,0,265,61,0,287,0,0,0,85,0,0,0,373,139,0,0,125,234,-35,240,161,156,0,0,0,0,0
psychic_dark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dark_steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dark_ground&psychic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psychic&fighting_psychic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grass_psychic,0,0,130,0,291,0,540,-106,0,198,0,0,0,-37,0,0,0,132,49,0,0,219,105,400,213,-54,-180,0,0,0,0,0
ice&ground_psychic&grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fighting_fire&flying,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rock&dark_grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rock&flying_grass&fighting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psychic&fighting_grass&fighting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal&flying_ground&psychic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
steel_ground&psychic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psychic_steel,-108,0,-172,0,0,-64,51,-138,0,0,115,0,0,0,0,0,0,0,-183,0,0,13,111,0,0,0,606,0,-44,64,-236,0
ground&psychic_steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psychic_psychic,475,0,91,0,0,63,238,367,0,0,314,0,0,0,0,0,0,0,152,0,0,366,147,0,20,0,371,0,76,123,200,0
ice&ground_psychic,-40,0,172,0,-49,0,56,97,0,288,0,0,0,181,0,0,0,240,182,0,0,268,-81,-112,157,-32,352,0,0,0,0,0
rock&flying_fire&flying,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
steel_psychic,92,0,485,0,320,0,-33,47,0,263,0,0,0,253,0,0,0,158,130,0,0,255,-214,414,-7,29,248,0,0,0,0,0
ice&ground_grass&fighting,74,0,117,0,238,0,220,402,0,131,0,0,0,20,0,0,0,154,1,0,0,50,-211,-125,98,-62,350,0,0,0,0,0
